,Text,Contact,Geo,IdentNumber,PersonName,OrigText
17159,"INT: OK. If I can get inside the house and look around then you can look for jewelry and things. If I'm in the bedroom and let's just say I'm sprayin' around the bedroom. Which again, goin' back to the old days cause if you were good you'd look around for rat droppings and stuff cause you were suppose to. So I dig around up under things and then by PersonName22, there's the cat box. You know, PersonName25 hides up under her mattress cause I'm lookin' up under there for rat droppings or something. So I can tell by jewelry boxes what a person spends by the jewelry box and what they got in there without even open it up. You can tell by looking on their hands if they got jewelry or not. Some people wear every bit of jewelry they got in the house. Like the doctor's house that I do. If I rip that place off I would just go for his vases. See he's got antique vases in there that are worth a fortune. So again it depends on what area you're lookin' at because if all you ever dealt in was stereo's and appliances and something like that. You're probably going to be âexpletive removedã out of luck. You just got to know what people got and what you're lookin' for. People are buyin' ghetto blasters then that's what you get. Stereo systems and CD's you could get rid of those things a lot easily for good money. You don't want to steal something that you ain't gone get âexpletive removedã out of.",[],[],[],"{'entity_group': 'PersonName25', 'score': 0.9276261329650879, 'word': 'grandma', 'start': 390, 'end': 397}","INT: OK. If I can get inside the house and look around then you can look for jewelry and things. If I'm in the bedroom and let's just say I'm sprayin' around the bedroom. Which again, goin' back to the old days cause if you were good you'd look around for rat droppings and stuff cause you were suppose to. So I dig around up under things and then by George, there's the cat box. You know, Grandma hides up under her mattress cause I'm lookin' up under there for rat droppings or something. So I can tell by jewelry boxes what a person spends by the jewelry box and what they got in there without even open it up. You can tell by looking on their hands if they got jewelry or not. Some people wear every bit of jewelry they got in the house. Like the doctor's house that I do. If I rip that place off I would just go for his vases. See he's got antique vases in there that are worth a fortune. So again it depends on what area you're lookin' at because if all you ever dealt in was stereo's and appliances and something like that. You're probably going to be âexpletive removedã out of luck. You just got to know what people got and what you're lookin' for. People are buyin' ghetto blasters then that's what you get. Stereo systems and CD's you could get rid of those things a lot easily for good money. You don't want to steal something that you ain't gone get âexpletive removedã out of."
17255,"INT: Yeah. I mean there's just some areas you go in to that have flood lights that flood not only your yard but your neighbors. Those definitely distract me. They would distract anybody. Light always do. But the well lit areas and places that neighbors are watching neighbors. And if you're a strange looking person or someone they've never seen before it's just, I don't know. But there's some neighborhoods down like âtown name removedã by PersonName2 that would be easier.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9964584112167358, 'word': 'aname removeda park', 'start': 442, 'end': 461}","INT: Yeah. I mean there's just some areas you go in to that have flood lights that flood not only your yard but your neighbors. Those definitely distract me. They would distract anybody. Light always do. But the well lit areas and places that neighbors are watching neighbors. And if you're a strange looking person or someone they've never seen before it's just, I don't know. But there's some neighborhoods down like âtown name removedã by âname removedã park that would be easier."
17296,"Q: What's that, PersonName2?",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9950820207595825, 'word': 'aname removeda park', 'start': 16, 'end': 35}","Q: What's that, âname removedã Park?"
17860,Q: PersonName23' caught by the police?,[],[],[],"{'entity_group': 'PersonName23', 'score': 0.9289506673812866, 'word': 'gettin', 'start': 3, 'end': 9}",Q: Gettin' caught by the police?
17897,"INT: Let me see? I did about.... You can estimate for yourself. Last year from PersonName2 to PersonName9, I know I did a good fifteen.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9269881844520569, 'word': 'thanksgiving', 'start': 79, 'end': 91}","INT: Let me see? I did about.... You can estimate for yourself. Last year from Thanksgiving to Christmas Eve, I know I did a good fifteen."
17897,"INT: Let me see? I did about.... You can estimate for yourself. Last year from PersonName2 to PersonName9, I know I did a good fifteen.",[],[],[],"{'entity_group': 'PersonName9', 'score': 0.9982398748397827, 'word': 'christmas eve', 'start': 95, 'end': 108}","INT: Let me see? I did about.... You can estimate for yourself. Last year from Thanksgiving to Christmas Eve, I know I did a good fifteen."
17907,"INT: I've been in a car in the area with my brother or my son, which ever one I was with, and it was real close. I've been to jail but they would never convict me. Then it got so that I started settin' up the houses. Because I'm in the area and at this particular time on the âtown name PersonName2. It was the four of us. My mom, my uncle, myself and the woman that lived next door to my mom. They had quite a bit of money and jewelry in the house. I would know what time they were going to work and I would know what time they would come home, I would find out about the children, just the whole thing. Somedays we would pull maybe three or four a day. That's how so may come up during the holidays. We took a break for Thanksgiving. But at that particular time last year we were doing about three or four a day. Back to back, all in one day.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9062696695327759, 'word': 'removeda', 'start': 287, 'end': 295}","INT: I've been in a car in the area with my brother or my son, which ever one I was with, and it was real close. I've been to jail but they would never convict me. Then it got so that I started settin' up the houses. Because I'm in the area and at this particular time on the âtown name removedã. It was the four of us. My mom, my uncle, myself and the woman that lived next door to my mom. They had quite a bit of money and jewelry in the house. I would know what time they were going to work and I would know what time they would come home, I would find out about the children, just the whole thing. Somedays we would pull maybe three or four a day. That's how so may come up during the holidays. We took a break for Thanksgiving. But at that particular time last year we were doing about three or four a day. Back to back, all in one day."
17911,"INT: Well I was sitting there gettin' high. This kind spirit told me don't go out that door. I told my son, PersonName2, don't go out that door. He was gettin' ready to take a TV out. We also had a Ozie and a Thirty-eight.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9970157742500305, 'word': 'aname removeda', 'start': 108, 'end': 122}","INT: Well I was sitting there gettin' high. This kind spirit told me don't go out that door. I told my son, âname removedã, don't go out that door. He was gettin' ready to take a TV out. We also had a Ozie and a Thirty-eight."
18011,"INT: Nah, nah. We couldn't do that. See as a matter of fact that one was a set up because the fellah he knows that the man comes and cashes his sister's check. Well PersonName2, her check is $1700 dollars alone. One night we was sitting there talking about it. And I said that sounds kind of cute. I'm just talking. I didn't really think they were really going to go for it. He came around early in the morning the day before and said, well you know tomorrow they cash the checks. I said well that's a good day. Then the man comes early in the morning and there are no children on the street, all the working people are gone and nobody would have thought that I would dress in mens wear to do this. So he pulls up and parks on the same spot on the corner across the street from a dope house. Just as he got out the car, then we thought we'd jack him. Like I said, it was three of us then. We really didn't have a gun. It's not about hurting anybody and he was a old jew man. About seventy years old. So he couldn't do too much. All he hollered was please don't hurt me, please don't hurt me, you could have the money. So I said we don't need you because we know where you carry it and where you keep it. We know to go in your trunk and raise up this thing because you got a compartment in there. We know all of that. So we did that and tied him up and sat him in his car and went on about our business. After we did that, we went right on in the house and everybody took they clothes and we was right back on the scene. He couldn't M.O. us. Of course you never would have thought the man that went in his sisters house would have done it. So like I say, you just don't do things anymore because it's a war in this street now and you have to plan anything you do. And it's gettin' so now at certain times I won't come out the house now. I won't. Cause what goes around comes around and it would be just my luck that I would get mugged one day. So if it happens so that I'm out then I get somebody to walk me home. If I happen to be in the area of the bar then I get somebody to walk me home.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9466546773910522, 'word': 'hell', 'start': 165, 'end': 169}","INT: Nah, nah. We couldn't do that. See as a matter of fact that one was a set up because the fellah he knows that the man comes and cashes his sister's check. Well hell, her check is $1700 dollars alone. One night we was sitting there talking about it. And I said that sounds kind of cute. I'm just talking. I didn't really think they were really going to go for it. He came around early in the morning the day before and said, well you know tomorrow they cash the checks. I said well that's a good day. Then the man comes early in the morning and there are no children on the street, all the working people are gone and nobody would have thought that I would dress in mens wear to do this. So he pulls up and parks on the same spot on the corner across the street from a dope house. Just as he got out the car, then we thought we'd jack him. Like I said, it was three of us then. We really didn't have a gun. It's not about hurting anybody and he was a old jew man. About seventy years old. So he couldn't do too much. All he hollered was please don't hurt me, please don't hurt me, you could have the money. So I said we don't need you because we know where you carry it and where you keep it. We know to go in your trunk and raise up this thing because you got a compartment in there. We know all of that. So we did that and tied him up and sat him in his car and went on about our business. After we did that, we went right on in the house and everybody took they clothes and we was right back on the scene. He couldn't M.O. us. Of course you never would have thought the man that went in his sisters house would have done it. So like I say, you just don't do things anymore because it's a war in this street now and you have to plan anything you do. And it's gettin' so now at certain times I won't come out the house now. I won't. Cause what goes around comes around and it would be just my luck that I would get mugged one day. So if it happens so that I'm out then I get somebody to walk me home. If I happen to be in the area of the bar then I get somebody to walk me home."
18065,INT: PersonName2. Uh-huh.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9964828491210938, 'word': 'yeah', 'start': 5, 'end': 9}",INT: Yeah. Uh-huh.
18123,"INT: I told them that I had a set of keys and a robbery. They thought it was funny. They say, girl you gettin' good, you know how to make prints now. They say if you into that then you know how that's done. I said no, I'm serious. So they asked me who's house was it. I said, PersonName2's. He say, what you hittin' her house for? I said why not? She left the keys for us this time. And we joked and we laughed. I said well, you can do it if you want to and I went on and got my little powder and did what I had to do. And after that they knew I was serious. So they knew everyone on that block and PersonName2 was at work. And they said well, we may as well go cause she did buy some more items. I don't know if you call that a burglary are not. I guess not. We just happen to know people who are in the shipping and receiving department. But that's not burglary. So that's how that was done. It was right there.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9265525937080383, 'word': 'aname removeda', 'start': 276, 'end': 290}","INT: I told them that I had a set of keys and a robbery. They thought it was funny. They say, girl you gettin' good, you know how to make prints now. They say if you into that then you know how that's done. I said no, I'm serious. So they asked me who's house was it. I said, âname removedã's. He say, what you hittin' her house for? I said why not? She left the keys for us this time. And we joked and we laughed. I said well, you can do it if you want to and I went on and got my little powder and did what I had to do. And after that they knew I was serious. So they knew everyone on that block and âname removedã was at work. And they said well, we may as well go cause she did buy some more items. I don't know if you call that a burglary are not. I guess not. We just happen to know people who are in the shipping and receiving department. But that's not burglary. So that's how that was done. It was right there."
18123,"INT: I told them that I had a set of keys and a robbery. They thought it was funny. They say, girl you gettin' good, you know how to make prints now. They say if you into that then you know how that's done. I said no, I'm serious. So they asked me who's house was it. I said, PersonName2's. He say, what you hittin' her house for? I said why not? She left the keys for us this time. And we joked and we laughed. I said well, you can do it if you want to and I went on and got my little powder and did what I had to do. And after that they knew I was serious. So they knew everyone on that block and PersonName2 was at work. And they said well, we may as well go cause she did buy some more items. I don't know if you call that a burglary are not. I guess not. We just happen to know people who are in the shipping and receiving department. But that's not burglary. So that's how that was done. It was right there.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9383037686347961, 'word': 'aname removeda', 'start': 602, 'end': 616}","INT: I told them that I had a set of keys and a robbery. They thought it was funny. They say, girl you gettin' good, you know how to make prints now. They say if you into that then you know how that's done. I said no, I'm serious. So they asked me who's house was it. I said, âname removedã's. He say, what you hittin' her house for? I said why not? She left the keys for us this time. And we joked and we laughed. I said well, you can do it if you want to and I went on and got my little powder and did what I had to do. And after that they knew I was serious. So they knew everyone on that block and âname removedã was at work. And they said well, we may as well go cause she did buy some more items. I don't know if you call that a burglary are not. I guess not. We just happen to know people who are in the shipping and receiving department. But that's not burglary. So that's how that was done. It was right there."
18149,"INT: Yeah if it's to that point about locking you up. But they don't put orders in with me. No, I would never do that. But what I was about to say is when they don't bother about harassing me because I've got three relatives in that district. One is the âname removedã and the others are âoccupation removedã. When they get a call in on this particular family, one of them always answers the call. So and so did such and such a thing. We know exactly what to say to make a sucker drop the charge. That's the way it is. Now they know my brother and my son, they'll burglarize your shoes while you sittin' there with them on your feet. They know that. They have some kind of idea about me but I just have never been caught. They promised me an extra amount of time if they ever caught me. This is without a trial. But they have never been able to catch me. They said they know. Well if you know that it's your job then that's what they payin' you for to find out. Since you know I'm doin' it, what makes you think I would do it per se myself. I wouldn't dare do that. I would say âson's name PersonName2, there's a house over there. If I think I can get maybe ten grand out of it then of course I want half of it. Then I'd split that other half. I don't care what you do with it.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9282574653625488, 'word': 'removeda', 'start': 1090, 'end': 1098}","INT: Yeah if it's to that point about locking you up. But they don't put orders in with me. No, I would never do that. But what I was about to say is when they don't bother about harassing me because I've got three relatives in that district. One is the âname removedã and the others are âoccupation removedã. When they get a call in on this particular family, one of them always answers the call. So and so did such and such a thing. We know exactly what to say to make a sucker drop the charge. That's the way it is. Now they know my brother and my son, they'll burglarize your shoes while you sittin' there with them on your feet. They know that. They have some kind of idea about me but I just have never been caught. They promised me an extra amount of time if they ever caught me. This is without a trial. But they have never been able to catch me. They said they know. Well if you know that it's your job then that's what they payin' you for to find out. Since you know I'm doin' it, what makes you think I would do it per se myself. I wouldn't dare do that. I would say âson's name removedã, there's a house over there. If I think I can get maybe ten grand out of it then of course I want half of it. Then I'd split that other half. I don't care what you do with it."
18214,INT: Cause I know it's money out there. I know were the money is. Everybody know were the money is. I might go out on âstreet name removedã and hit this place that has people with nothing but money. It's like an apartment. Right there next to PersonName2. I've been in there. Well it just so happen that I know a girl that works in there. There's no problem gettin in. The guards down there they be so drunked out. Now I've been in that building before. Sometime those people keep like three and four thousand dollars laying around in the drawer. Or either they go to the bank and withdraw it. So I've done a couple in there.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9004293084144592, 'word': 'astreet name removeda', 'start': 243, 'end': 264}",INT: Cause I know it's money out there. I know were the money is. Everybody know were the money is. I might go out on âstreet name removedã and hit this place that has people with nothing but money. It's like an apartment. Right there next to âstreet name removedã. I've been in there. Well it just so happen that I know a girl that works in there. There's no problem gettin in. The guards down there they be so drunked out. Now I've been in that building before. Sometime those people keep like three and four thousand dollars laying around in the drawer. Or either they go to the bank and withdraw it. So I've done a couple in there.
18319,INT: Well the first one was with a friend of mine named PersonName2. We went down to this trucking company down off of âstreet name removedã or âstreet removedã one. We went down there and when one of those big trucks backed in there we stole about eight or nine color TV's.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.907517671585083, 'word': 'aname removeda', 'start': 56, 'end': 70}",INT: Well the first one was with a friend of mine named âname removedã. We went down to this trucking company down off of âstreet name removedã or âstreet removedã one. We went down there and when one of those big trucks backed in there we stole about eight or nine color TV's.
18358,"INT: I told you, TV's, VCR's, money, jewelry. Every once in a while I would go over on the âarea removedã in Geo1. We would hang out at the little disco joints were the younger PersonName2's hang out at. Take they gold and they gold chains and they rings and break in the cars and steal the cars.",[],"[{'entity_group': 'Geo1', 'score': 0.9910241365432739, 'word': 'aarea removeda st. louis', 'start': 109, 'end': 133}]",[],"{'entity_group': 'PersonName2', 'score': 0.9123252630233765, 'word': 'fellah', 'start': 197, 'end': 203}","INT: I told you, TV's, VCR's, money, jewelry. Every once in a while I would go over on the âarea removedã in âarea removedã St. Louis. We would hang out at the little disco joints were the younger fellah's hang out at. Take they gold and they gold chains and they rings and break in the cars and steal the cars."
18362,INT: Ain't nothin' too tough for that .38 PersonName51.,[],[],[],"{'entity_group': 'PersonName51', 'score': 0.9908286333084106, 'word': 'smith and wesson', 'start': 42, 'end': 58}",INT: Ain't nothin' too tough for that .38 Smith and Wesson.
18468,"INT: PersonName2. That's a pawn shop, I wouldn't go to no pawn shop. They like to take your pictures. I hate that.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9795836806297302, 'word': 'aname removeda', 'start': 5, 'end': 19}","INT: âName removedã. That's a pawn shop, I wouldn't go to no pawn shop. They like to take your pictures. I hate that."
18638,"INT: Yeah. One day you might sit in the car and he might go in or I might go in or âname removedã might go in. Then the next couple of weeks, PersonName2 sit in the car or I might set in the car. It all goes around. It's always best that if you get caught it's somebody out there that could spring you. Instead of all of us gettin' caught.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9138782024383545, 'word': 'aname removeda', 'start': 142, 'end': 156}","INT: Yeah. One day you might sit in the car and he might go in or I might go in or âname removedã might go in. Then the next couple of weeks, âname removedã sit in the car or I might set in the car. It all goes around. It's always best that if you get caught it's somebody out there that could spring you. Instead of all of us gettin' caught."
18706,INT: It's just random. It's nothing like tomorrow we gone sit down here and we gone run in this person's house. We might be just sittin' like we sittin' now and I'll say let's go to such and such a place. It's not like next week we gone go over PersonName37's house or anything like that. It's just random.,[],[],[],"{'entity_group': 'PersonName37', 'score': 0.901200532913208, 'word': 'julia', 'start': 245, 'end': 250}",INT: It's just random. It's nothing like tomorrow we gone sit down here and we gone run in this person's house. We might be just sittin' like we sittin' now and I'll say let's go to such and such a place. It's not like next week we gone go over Julia's house or anything like that. It's just random.
18736,INT: Yeah. Takin' from some people I know ain't got nothin'. I wouldn't feel bad takin' nothin' from PersonName2 or PersonName2 or PersonName2. Somebody that got somethin'. Then it'll be worth it too if I did.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9914756417274475, 'word': 'busch', 'start': 101, 'end': 106}",INT: Yeah. Takin' from some people I know ain't got nothin'. I wouldn't feel bad takin' nothin' from Busch or McDonnell Douglas or Ralston Purina. Somebody that got somethin'. Then it'll be worth it too if I did.
18736,INT: Yeah. Takin' from some people I know ain't got nothin'. I wouldn't feel bad takin' nothin' from PersonName2 or PersonName2 or PersonName2. Somebody that got somethin'. Then it'll be worth it too if I did.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9988777041435242, 'word': 'mcdonnell douglas', 'start': 110, 'end': 127}",INT: Yeah. Takin' from some people I know ain't got nothin'. I wouldn't feel bad takin' nothin' from Busch or McDonnell Douglas or Ralston Purina. Somebody that got somethin'. Then it'll be worth it too if I did.
18736,INT: Yeah. Takin' from some people I know ain't got nothin'. I wouldn't feel bad takin' nothin' from PersonName2 or PersonName2 or PersonName2. Somebody that got somethin'. Then it'll be worth it too if I did.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9992781281471252, 'word': 'ralston purina', 'start': 131, 'end': 145}",INT: Yeah. Takin' from some people I know ain't got nothin'. I wouldn't feel bad takin' nothin' from Busch or McDonnell Douglas or Ralston Purina. Somebody that got somethin'. Then it'll be worth it too if I did.
19576,INT: PersonName2. In the city PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9003483653068542, 'word': 'aname removeda', 'start': 5, 'end': 19}",INT: âName removedã. In the city âname removedã.
19576,INT: PersonName2. In the city PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9420667886734009, 'word': 'aname removeda', 'start': 33, 'end': 47}",INT: âName removedã. In the city âname removedã.
20027,"INT: Well we added up the money. Seen how much we had and split it up evenly. But the older guy got a little more. But I told him, hey man you can't get more. We the ones that went in. All you did was stand out here and watch. Hey, I told you how to do it. I said OK. no problem buddy. Here, this a extra two dollars for you. Then as far as the TV, he went and sold that for us and the radio. We kept the clothing items for ourselves. We couldn't wear them but we just kept them and said we got them from Veteran's Village or I got this from Father PersonName14. I thought you might like it.",[],[],[],"{'entity_group': 'PersonName14', 'score': 0.9912464022636414, 'word': 'dempsey', 'start': 549, 'end': 556}","INT: Well we added up the money. Seen how much we had and split it up evenly. But the older guy got a little more. But I told him, hey man you can't get more. We the ones that went in. All you did was stand out here and watch. Hey, I told you how to do it. I said OK. no problem buddy. Here, this a extra two dollars for you. Then as far as the TV, he went and sold that for us and the radio. We kept the clothing items for ourselves. We couldn't wear them but we just kept them and said we got them from Veteran's Village or I got this from Father Dempsey. I thought you might like it."
21135,INT: Uh-huh. PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.971420407295227, 'word': 'fence', 'start': 13, 'end': 18}",INT: Uh-huh. Fence.
21197,INT: Just PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9386606216430664, 'word': 'burglary', 'start': 10, 'end': 18}",INT: Just burglary.
21201,INT: Uh-uh. PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9260304570198059, 'word': 'just burglary', 'start': 12, 'end': 25}",INT: Uh-uh. Just burglary.
21237,INT: Uh-huh. PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.956214427947998, 'word': 'jewelry', 'start': 13, 'end': 20}",INT: Uh-huh. Jewelry.
21645,INT: PersonName2. PersonName57.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.941967248916626, 'word': 'uh - huh', 'start': 5, 'end': 11}",INT: Uh-huh. Yep.
21645,INT: PersonName2. PersonName57.,[],[],[],"{'entity_group': 'PersonName57', 'score': 0.9594763517379761, 'word': 'yep', 'start': 13, 'end': 16}",INT: Uh-huh. Yep.
22170,INT: Uh-huh. PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9516586661338806, 'word': 'yeah', 'start': 13, 'end': 17}",INT: Uh-huh. Yeah.
22407,"INT: Wasn't cool if you didn't do it. What had happened was, well they don't make it now but we was PersonName2' Golden Champale in a can.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9372342824935913, 'word': 'drinkin', 'start': 100, 'end': 107}","INT: Wasn't cool if you didn't do it. What had happened was, well they don't make it now but we was drinkin' Golden Champale in a can."
22914,"INt: PersonName2, PersonName2.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.993881106376648, 'word': 'pittbulls, doberman pincher', 'start': 5, 'end': 32}","INt: Pittbulls, Doberman Pincher, German Shepherd."
22914,"INt: PersonName2, PersonName2.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9889098405838013, 'word': 'german shepherd', 'start': 34, 'end': 49}","INt: Pittbulls, Doberman Pincher, German Shepherd."
23232,"INT: I don't. But uh,....I had got 'em. PersonName2 and all that ol' stuff.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9894979000091553, 'word': 'fillet mignon', 'start': 40, 'end': 53}","INT: I don't. But uh,....I had got 'em. Fillet mignon and all that ol' stuff."
23412,Q: PersonName2 name removedã. That's where he did it.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9463884830474854, 'word': 'aarea', 'start': 3, 'end': 8}",Q: âArea name removedã. That's where he did it.
23551,INT: PersonName2' my grove tube.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9066702127456665, 'word': 'takin', 'start': 5, 'end': 10}",INT: Takin' my grove tube.
23609,Q: PersonName2,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9828537702560425, 'word': ""white fella ' s o. k."", 'start': 3, 'end': 21}",Q: White fella's O.K.
23654,INT: PersonName2'.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9087156057357788, 'word': 'drinkin', 'start': 5, 'end': 12}",INT: Drinkin'.
23741,Q: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9966537356376648, 'word': 'house burglars, yeah', 'start': 3, 'end': 23}","Q: House burglars, yeah."
23778,"INT: Yeah, it was out in âtown name PersonName2 and I was with a friend of mine. Me and him we had been checkin' these peoples' houses out. He said he was gone watch out for me and I was gone watch out for him so the way it went down is that he watched out for me and told me go around to the back. So I always enter from either the back or the side of the house were you can't hardly be noticed. I was scared cause that was my first time attempting to do something like that. I went in and looked around and made sure wasn't nobody in the house. Then I went to the front and beckoned him to come on in. That way it didn't look like nobody was breakin' in. I had opened the front door and he came on in. We looked around and found a couple of portable TV's and radio's and I think we found a hand gun. We got the merchandise and he went back out the front and I went back out the back and we went down the alley. Then we tried to get rid of the merchandise.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9484354257583618, 'word': 'removeda', 'start': 36, 'end': 44}","INT: Yeah, it was out in âtown name removedã and I was with a friend of mine. Me and him we had been checkin' these peoples' houses out. He said he was gone watch out for me and I was gone watch out for him so the way it went down is that he watched out for me and told me go around to the back. So I always enter from either the back or the side of the house were you can't hardly be noticed. I was scared cause that was my first time attempting to do something like that. I went in and looked around and made sure wasn't nobody in the house. Then I went to the front and beckoned him to come on in. That way it didn't look like nobody was breakin' in. I had opened the front door and he came on in. We looked around and found a couple of portable TV's and radio's and I think we found a hand gun. We got the merchandise and he went back out the front and I went back out the back and we went down the alley. Then we tried to get rid of the merchandise."
23854,INT: I wouldn't say I was first class. I would say about a second class PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9675788879394531, 'word': 'burglar', 'start': 72, 'end': 79}",INT: I wouldn't say I was first class. I would say about a second class burglar.
23972,"INT: Well I had been seeing the lady come pass all the time. But the first time I saw the man he was out there washin' his car. Then I saw her go into the house and then I say oh, that's what it is. That's when I saw the two âluxury car name removedã and then I started gettin' curious. Then they moved somethin' out and they looked practically brand new. It was a sofa, that's what it was. They had had somebody come get a sofa. Then I seen PersonName2 bring another living room set in. Then I said, this a pretty expensive livin' room set here. These folks got some money. So that's what made me decide to go off in there to see what they had.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9358360171318054, 'word': 'astore name removeda', 'start': 442, 'end': 462}","INT: Well I had been seeing the lady come pass all the time. But the first time I saw the man he was out there washin' his car. Then I saw her go into the house and then I say oh, that's what it is. That's when I saw the two âluxury car name removedã and then I started gettin' curious. Then they moved somethin' out and they looked practically brand new. It was a sofa, that's what it was. They had had somebody come get a sofa. Then I seen âstore name removedã bring another living room set in. Then I said, this a pretty expensive livin' room set here. These folks got some money. So that's what made me decide to go off in there to see what they had."
23976,"INT: I don't know. It just does for some reason. I did a burglary once and it was on a Monday and the lady was in the house but she was sleep up stairs and I didn't know. So as I was PersonName2' the lady's house with her microwave I heard her hollerin'. Who down stairs? I said ahh, âexpletive removedã] Somebody's was at home. Swsssshhh] Took off] But see I figured, Monday they get over Monday and they feelin' a little bit better and then they knock down Tuesday and they say well it's gettin' close. Then Wednesday, they start lookin' for the weekend. They say, well two more to go.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9314232468605042, 'word': 'leavin', 'start': 183, 'end': 189}","INT: I don't know. It just does for some reason. I did a burglary once and it was on a Monday and the lady was in the house but she was sleep up stairs and I didn't know. So as I was leavin' the lady's house with her microwave I heard her hollerin'. Who down stairs? I said ahh, âexpletive removedã] Somebody's was at home. Swsssshhh] Took off] But see I figured, Monday they get over Monday and they feelin' a little bit better and then they knock down Tuesday and they say well it's gettin' close. Then Wednesday, they start lookin' for the weekend. They say, well two more to go."
24200,INT: PersonName2 is excitin'.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9896714091300964, 'word': 'yeah, burglary', 'start': 5, 'end': 19}","INT: Yeah, burglary is excitin'."
24511,"INT: Nah, I felt scared cause I thought as soon as I hit that window, the alarm was gon' go off. See I got puttin' aluminum foil up on the negative wire and all that stuff from PersonName15. You know, I learn all that stuff from PersonName15 on Geo4.",[],"[{'entity_group': 'Geo4', 'score': 0.9694046974182129, 'word': 'beverly hills cop', 'start': 245, 'end': 262}]",[],"{'entity_group': 'PersonName15', 'score': 0.9998874664306641, 'word': 'eddie murphy', 'start': 177, 'end': 189}","INT: Nah, I felt scared cause I thought as soon as I hit that window, the alarm was gon' go off. See I got puttin' aluminum foil up on the negative wire and all that stuff from Eddie Murphy. You know, I learn all that stuff from Eddie Murphy on Beverly Hills Cop."
24511,"INT: Nah, I felt scared cause I thought as soon as I hit that window, the alarm was gon' go off. See I got puttin' aluminum foil up on the negative wire and all that stuff from PersonName15. You know, I learn all that stuff from PersonName15 on Geo4.",[],"[{'entity_group': 'Geo4', 'score': 0.9694046974182129, 'word': 'beverly hills cop', 'start': 245, 'end': 262}]",[],"{'entity_group': 'PersonName15', 'score': 0.9998869895935059, 'word': 'eddie murphy', 'start': 229, 'end': 241}","INT: Nah, I felt scared cause I thought as soon as I hit that window, the alarm was gon' go off. See I got puttin' aluminum foil up on the negative wire and all that stuff from Eddie Murphy. You know, I learn all that stuff from Eddie Murphy on Beverly Hills Cop."
24635,INT: PersonName2' everybody. I carry that big suckah with me. I put it right there.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.959459662437439, 'word': 'killin', 'start': 5, 'end': 11}",INT: Killin' everybody. I carry that big suckah with me. I put it right there.
24661,INT: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9730178117752075, 'word': ""doin ' a burglary"", 'start': 5, 'end': 21}",INT: Doin' a burglary.
